id;codigo;nome;descricao;fator_conversao;ativa;principal;casas_decimais;separador_milhar;separador_decimal;simbolo;moeda_id
1;secret cro;scope waltz swordfish;once stingy;4619.15;true;true;12456;h;p;booho;1
2;admonish h;scenario;less;20159.68;true;true;5853;l;e;cone ;2
3;likewise;lieu before hornet;doubtfully like brr;29899.68;false;true;23849;s;s;ideal;3
4;geez;till ouch;flight team shyly;7442.69;true;true;7251;a;p;terri;4
5;boggle tim;fearless incidentally amongst;while;13497.93;false;false;19975;s;u;achin;5
6;ragged kno;pish er;hm;16827.06;false;true;14856;y;l;ha li;6
7;exhausted;qua;transom;26097.76;true;true;20167;o;n;bah p;7
8;jellyfish;what;minority;8466.74;true;false;23740;p;a;enhan;8
9;swim;reproach;outlaw whether whoa;30326.91;true;false;17190;e;o;incul;9
10;wherever i;crumble artistic;cantaloupe yum gadzooks;7648.65;true;true;22184;i;q;which;10
