id;chave;valor;descricao;tipo;modulo;ativa
1;swordfish partially;wherever hygienic;from stuff below;INTEGER;through;false
2;idealistic whisper;gadzooks mouser;because irresponsible generously;BIG_DECIMAL;undergo coaxingly meanwhile;false
3;pish;awkwardly;casement;BIG_DECIMAL;while;false
4;traffic hierarchy opposite;memorise inquisitively rosy;psst aside supposing;BOOLEAN;sympathetically scuttle;true
5;inwardly aboard;narrowcast;reassuringly;INTEGER;bleak;false
6;popularize that;gadzooks;queasily;BIG_DECIMAL;morning violently;false
7;um now;nectarine;curry clinking;BOOLEAN;against;true
8;incomparable elegant;relieve;how meanwhile;INTEGER;manage;false
9;for;than;forenenst but er;BIG_DECIMAL;put anenst;false
10;cripple peter besides;shrilly;clearly um minister;STRING;gee uncover;true
