id;nome;token;chave;webhook_url;url_pagamento_aprovado;url_pagamento_cancelado;url_pagamento_rejeitado;tipo;status;data_inicio;data_fim;desconto;tipo_desconto;valor_minimo_pagamento;id_externo;numero_referencia;ativo;bloqueado;usuario_id;moeda_carteira_id
1;ouch vol because;finished dredger;out yum;pleasure unfinished yippee;brr who parallel;gadzooks drat hence;analogy;UNICO;EXPIRADO;2026-03-28T11:40:30;2026-03-28T01:01:52;27024.37;FIXO;23031.03;notarize;after;false;false;1;1
2;whether eek inspection;questionably passport;yowza;prejudge;angle lightly cautiously;sarong;knowingly;RECORRENTE;INATIVO;2026-03-28T19:08:53;2026-03-28T12:40:24;30231.7;FIXO;11589.79;jam-packed slowly;abacus;false;false;2;2
3;legging as scaffold;accurate;snuggle instead nudge;dereference well how;however;ah;brr impressive er;UNICO;INATIVO;2026-03-27T22:03:55;2026-03-28T07:11:57;18204.99;PERCENTUAL;26909.73;rapid turret;wilted yowza;false;false;1;3
4;direct prejudge;witty access comestible;immense;characterization oh;mothball overburden supposing;why inwardly triumphantly;athletic;DOACAO;ATIVO;2026-03-28T04:07:30;2026-03-28T07:46:51;4174.27;PERCENTUAL;9544.28;between however;aw;false;true;2;4
5;how er;gratefully ah;anxiously;underpants anxiously fort;diversity fraternise;cop-out;bogus;RECORRENTE;INATIVO;2026-03-28T00:12:23;2026-03-28T11:08:59;9139.37;PERCENTUAL;25697.85;sticky;spark;false;true;2;5
6;shallow;of hmph oblong;reflate gosh;warm loosely;kaleidoscopic;besides darling creator;because boo ick;RECORRENTE;INATIVO;2026-03-28T08:42:29;2026-03-28T16:40:43;26250.99;PERCENTUAL;29078.7;unique bashfully willfully;entire rightfully ick;true;true;2;6
7;mushy;manner;manage outside;rally sinful clearly;scheme;as inwardly;bran boohoo;DOACAO;EXPIRADO;2026-03-28T10:18:17;2026-03-28T14:08:34;15990.46;PERCENTUAL;21221.76;brood hateful;drat brave;false;true;1;7
8;solemnly aw;battle abaft geez;unexpectedly embossing baptise;bookcase;aha abnormally;whoa pace athletic;courageously to for;RECORRENTE;BLOQUEADO;2026-03-28T11:11:42;2026-03-28T12:14:41;10861.92;PERCENTUAL;16199.68;that round but;ornery advanced;true;false;2;8
9;frilly cannon;gosh ew hidden;and;chip;frightfully;off scramble underneath;gently atop ravel;DOACAO;INATIVO;2026-03-28T02:00:01;2026-03-28T03:28:00;9240.39;PERCENTUAL;3935.17;punctual neatly however;silently;false;false;1;9
10;adrenalin federate warmly;general taut regarding;cutlet hm archive;once likely;almighty;gad under;off;DOACAO;ATIVO;2026-03-27T19:52:06;2026-03-28T16:34:08;3541.41;FIXO;24926.96;claw;punctuation last;true;false;1;10
