id;valor;chave_interna;tipo_chave;situacao;descricao;motivo_rejeicao;numero_referencia;usuario_origem_id;carteira_origem_id;moeda_carteira_id
1;12938.63;pfft malfunction;CPF;APROVADA;decide dense;from abaft yowza;ethyl beyond almost;1;1;1
2;21480.3;minion major sore;TELEFONE;APROVADA;spirit rowdy mozzarella;tomography;circa since;2;2;2
3;28785.97;discontinue when;TELEFONE;REJEITADA;aw;almost;fake;1;3;3
4;30785.14;fun co-producer;CONTA;REJEITADA;birdcage fuel;as bran;next plus;2;4;4
5;11939.34;pike redevelop;CONTA;REJEITADA;all ick know;at;chip;2;5;5
6;9297.19;gah minus huzzah;TELEFONE;PENDENTE;tiny;unfortunate bleakly phew;recent ride;2;6;6
7;1434.57;inside apologise uh-huh;EMAIL;PENDENTE;basket writhing;a whoever sandbar;taro;1;7;7
8;15629.95;stint arraign;CONTA;CANCELADA;short-term goodwill once;deflect as;unless ack;1;8;8
9;17039.28;pale modulo;CPF;PENDENTE;ah focused;but;ha actually kowtow;1;9;9
10;50.13;gosh except;CONTA;REJEITADA;nor beautifully;madly platter;precedent aboard loudly;2;10;10
